序号,标题,作者,地区,发布时间,点赞,收藏,评论数,分享,关键词,链接
1,大学做兼职确实过的很滋润了,妞儿,四川,2026-05-31 18:49,10万+,7万,4615,6761,编程兼职,https://www.xiaohongshu.com/explore/6a1c12560000000008027c39?xsec_token=AB_CDYrHEPUJK8RKy6A1x3CF8xMDjbHFjM7skCmH-a2Kw=&xsec_source=pc_search
2,搞钱app,不想多说,,2024-10-30 16:26,1.9万,1.6万,3205,724,编程兼职,https://www.xiaohongshu.com/explore/6721edb5000000001a01ff73?xsec_token=AB7TNXs0qwUXiHFrUf7LF7vup1DkBFJ0W1alGlCBfAyE8=&xsec_source=pc_search
3,这么卷了吗？,冰点设计服务,,2024-11-19 12:14,1.7万,9864,1517,1575,编程副业,https://www.xiaohongshu.com/explore/673c10ae0000000002018899?xsec_token=AB7Wby-Y0Ds2165PY5TnJxWhSM0tlD8nnH0BZPGPhEC6c=&xsec_source=pc_search
4,24岁，研究生，3年赚17万，如何从0～1做博主,Rosa学姐,,2024-07-27 17:56,1.7万,9915,1657,657,编程兼职,https://www.xiaohongshu.com/explore/66a4bc150000000005030e5c?xsec_token=ABmudx64cDj8FswjBDhXWTu6MqPowKT1v9vFuSkNDqU_8=&xsec_source=pc_search
5,21个奇奇怪怪的网站，收入蹭蹭蹭！,洛洛成长记,,2024-10-26 01:25,9974,1.3万,186,903,编程兼职,https://www.xiaohongshu.com/explore/671bd477000000001b03dcce?xsec_token=ABGTGJ7hKurJjBEFQZJAqgEwyBwG_gdGBRZEGm6lWCWmg=&xsec_source=pc_search
6,不上班也有活路，9个小外快助力逆袭~,雾猫-雪绒,,2025-05-21 16:36,7134,6282,4458,375,编程兼职,https://www.xiaohongshu.com/explore/682d90830000000021005d8c?xsec_token=ABgFbWeGAcEtLpfpnLrMkKCzM5d0IKuyHUXB3DhQYSLUs=&xsec_source=pc_search
7,二本-北外 | 超越80％同龄人的宝藏技能㊙️,李大头plus,,2021-09-20 20:57,5810,5567,116,108,编程副业,https://www.xiaohongshu.com/explore/6148855300000000210381f0?xsec_token=ABT_0R08gjRWHPfc3vEEs2EQJVmf2To7Lfww0svAxmSuo=&xsec_source=pc_search
8,副业血泪教训😭肺腑之言❗❗听人劝吃饱饭,早点睡am,,2024-10-22 15:44,4874,5000,57,158,编程兼职,https://www.xiaohongshu.com/explore/671757df0000000024019603?xsec_token=ABNxOzPk-hxgG8Ff8CwzQcN-cBGvRxgPhlRXBwBfZ1SJg=&xsec_source=pc_search
9,vibe coding 赚了五千块😂,Mr.Restart,浙江,2026-05-15 10:02,4797,3788,247,555,编程副业,https://www.xiaohongshu.com/explore/6a067ea8000000003601a7f7?xsec_token=ABFAdQMqDe-hCaWW1y9VZVekY1yNMTsWb6sKEvFbXyTaE=&xsec_source=pc_search
10,很好奇大家的vibe coding赚钱能力,qianqian脑子不行,四川,2026-05-19 11:55,4708,4945,692,1187,编程副业,https://www.xiaohongshu.com/explore/6a0bdf4c000000003701cd97?xsec_token=AB3O8LOy_OyLVz1SKUwfNcs3cmGhOZ3dnEn6TjIGAikUc=&xsec_source=pc_search
11,每天避雷一个副业-剪辑接单,派大星学自媒体,,2025-09-01 22:36,4508,2446,702,316,编程副业,https://www.xiaohongshu.com/explore/68b5af65000000001d0354d9?xsec_token=ABdWW6op0T6v6GGzqJr2LWR6ZYkATN48-PVAoXW-gZdUk=&xsec_source=pc_search
12,我做过这么多兼职，怎么存款还是负的,努力的但丁,,2024-11-09 21:47,4459,1965,780,126,编程副业,https://www.xiaohongshu.com/explore/672f67d6000000001b011432?xsec_token=ABqwI1SPD8Yunxb_dXDT27xXzNeSQwXmKwlXt7q0y2gNI=&xsec_source=pc_search
13,用python技能去变现，实现经济自由,vitality,,2024-06-13 16:28,4164,4582,108,404,编程兼职,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=ABey13Gt5bhoRNuFI6l-7soGfaVSoOkFuMToOpjBQxpM8=&xsec_source=pc_search
14,学生新副业思路之应用开发怎么赚钱,圈宁CeoxNim,,2025-11-08 18:25,3951,1275,84,53,编程副业,https://www.xiaohongshu.com/explore/690e5bcf0000000003038ec6?xsec_token=AB1oYWzX_iYqhxMku_jAVaB-W2bquGzWkCilU_-V7z3wg=&xsec_source=pc_search
15,5个小收入妙招！！,叶轻创业,,2025-09-07 16:01,2765,1188,3720,110,编程副业,https://www.xiaohongshu.com/explore/68bd3bda000000001c0069c7?xsec_token=ABrCanLmYEK1CVj-w1ewBgqjM3d99piQ5Jd1TeMg_D32E=&xsec_source=pc_search
16,分享普通人在家可做的6个工作,努力攒钱的大王,,2024-07-24 18:23,2731,1949,686,189,编程兼职,https://www.xiaohongshu.com/explore/669f6dac000000002701ba92?xsec_token=AB4YqcUW1fxvOFpsZHBVvc_MagXqp3tg2cKO_lzi5FKE0=&xsec_source=pc_search
17,“搞副业”还是得用野路子（一）,不摆烂小树,,2025-05-02 12:59,2615,2122,330,135,编程副业,https://www.xiaohongshu.com/explore/6814514d0000000022025e3e?xsec_token=ABUYSVI2tjKGSZrOXTjm4CLDxGTysPfJx879A2ApdxJDs=&xsec_source=pc_search
18,程序员经典：什么是最好的编程语言？,程序员梗图火炬,,2026-01-22 15:06,2540,982,276,242,编程副业,https://www.xiaohongshu.com/explore/6971cc8b00000000220206b2?xsec_token=AB4XQxBkPzoAKQt1IjTl7VE5vh5PpJ2QVOoEITD5RNEeo=&xsec_source=pc_search
19,大二创业｜学会做内容生产者,Kk（搞钱版）,,2024-06-16 15:37,2471,1377,135,121,编程副业,https://www.xiaohongshu.com/explore/666d8e7c000000000d00df97?xsec_token=ABWhpBL4Cku2R4V2_31a4YCbeqqzb8EUEfyjlYj6ER2hk=&xsec_source=pc_search
20,因为签约了西红柿，说一下大实话，很现实！,我们去抓鱼吧！,,2025-11-08 13:51,2454,1990,30,105,编程副业,https://www.xiaohongshu.com/explore/690eda73000000000300e9e2?xsec_token=AB1oYWzX_iYqhxMku_jAVaB4lUVLdtJOCx8m5F4qShGgo=&xsec_source=pc_search
